source_file,Run_nr,Alpha,Beta,CL,CD,Cyaw,Cm_p_qc,Ct,Cn,Cside,Cm_roll,Cm_pitch,Cm_yaw,V,Re,M,V_nominal,prop_speed_hz,test_block,advance_ratio_J,advance_ratio_nominal_J
corr_elevatorp10rudder0.txt,46,8.0,0.0,1.0313,0.095968,0.00193,-0.24423,-0.04849,1.0346,0.001934,-0.00357,-0.50034,-0.00177,40.15,347300.0,0.118,40.0,78.7,ZERO,2.510655434271478,2.5012756505817966
corr_elevatorp10rudder0.txt,47,12.0,0.0,1.2311,0.150269,0.00172,-0.42081,-0.10897,1.2354,0.001722,-0.00391,-0.72528,-0.00215,40.22,348000.0,0.118,40.0,78.7,ZERO,2.5150326666599967,2.5012756505817966
corr_elevatorp10rudder0.txt,48,-1.996,0.0,0.0853,0.002154,0.00794,-0.21183,0.005123,0.0852,0.007937,-0.00252,-0.23091,-0.00028,40.25,348100.0,0.118,40.0,,FREE,,
corr_elevatorp10rudder0.txt,49,-0.004,0.0,0.2969,0.004633,0.00699,-0.22678,0.004654,0.2969,0.006989,-0.00324,-0.29866,-0.0002,40.22,347700.0,0.118,40.0,,FREE,,
corr_elevatorp10rudder0.txt,50,4.0,0.0,0.7067,0.020806,0.00529,-0.24651,-0.028538,0.7064,0.005292,-0.00447,-0.42054,-6e-05,40.22,347600.0,0.118,40.0,,FREE,,
corr_elevatorp10rudder0.txt,51,8.0,0.0,1.0506,0.051435,-0.00045,-0.2991,-0.095287,1.0476,-0.000446,-0.00541,-0.55789,-0.0014,40.19,347500.0,0.118,40.0,,FREE,,
corr_elevatorp10rudder0.txt,52,12.0,0.0,1.2645,0.112074,-0.00518,-0.48909,-0.15327,1.2601,-0.005185,-0.00676,-0.79903,-0.00077,40.22,347800.0,0.118,40.0,,FREE,,
corr_elevatorp10rudder0.txt,53,-1.996,0.0,0.0903,0.016555,0.01096,-0.22859,0.019691,0.0897,0.010963,-0.00318,-0.24867,-0.00042,20.12,174300.0,0.059,20.0,,FREE,,
corr_elevatorp10rudder0.txt,54,-0.004,0.0,0.2948,0.019505,0.00862,-0.23443,0.019525,0.2948,0.008616,-0.00383,-0.30571,-0.0004,20.1,174200.0,0.059,20.0,,FREE,,
corr_elevatorp10rudder0.txt,55,4.0,0.0,0.7021,0.037984,0.00265,-0.23628,-0.011087,0.7031,0.002653,-0.00522,-0.40963,-0.0004,20.15,174700.0,0.059,20.0,,FREE,,
corr_elevatorp10rudder0.txt,56,8.0,0.0,1.0454,0.06817,0.00063,-0.31143,-0.077986,1.0447,0.000629,-0.00623,-0.56942,-0.00036,20.08,174200.0,0.059,20.0,,FREE,,
corr_elevatorp10rudder0.txt,57,12.0,0.0,1.2853,0.130197,0.00256,-0.4601,-0.139884,1.2843,0.002559,-0.005,-0.77646,-0.00095,20.09,174300.0,0.059,20.0,,FREE,,
corr_elevatorp10rudder0.txt,58,-1.979,0.0,0.0904,0.070412,0.00728,-0.19,0.073494,0.088,0.007282,-0.00133,-0.21004,0.00099,20.11,174500.0,0.059,20.0,27.6,BRK,3.585744037430104,3.5661303206664385
corr_elevatorp10rudder0.txt,59,-0.004,0.0,0.2895,0.073151,0.00707,-0.18695,0.073171,0.2895,0.00707,-0.00161,-0.25741,0.0003,20.1,174400.0,0.059,20.0,27.6,BRK,3.5839609722697707,3.5661303206664385
corr_elevatorp10rudder0.txt,60,4.0,0.0,0.6876,0.090638,0.00422,-0.18302,0.042456,0.6922,0.004216,-0.00295,-0.3542,-0.00072,20.14,174800.0,0.059,20.0,27.6,BRK,3.5910932329111036,3.5661303206664385
corr_elevatorp10rudder0.txt,61,8.0,0.0,1.0151,0.121258,0.00167,-0.24278,-0.021196,1.0221,0.001665,-0.00444,-0.49581,-0.00043,20.17,175000.0,0.059,20.0,27.6,BRK,3.5964424283921033,3.5661303206664385
corr_elevatorp10rudder0.txt,62,12.0,0.0,1.2371,0.183262,0.00721,-0.35751,-0.077961,1.2482,0.007208,-0.00176,-0.6659,-0.002,20.12,174700.0,0.059,20.0,27.6,BRK,3.587527102590437,3.5661303206664385
corr_elevatorp10rudder0.txt,63,8.004,0.0,1.0322,0.096786,0.00243,-0.2454,-0.047881,1.0356,0.002427,-0.00366,-0.50175,-0.00191,40.22,348800.0,0.118,40.0,78.7,REPLICATE,2.5150326666599967,2.5012756505817966
corr_elevator0rudder0.txt,64,7.996,0.0,0.9871,-0.005884,-0.00522,-0.10801,-0.143137,0.9767,-0.005216,-0.00758,-0.35106,-0.00058,40.22,348500.0,0.118,40.0,123.0,MANDATORY,1.609211958261315,1.6004097048844503
corr_elevator0rudder0.txt,65,-1.996,0.0,0.0069,0.066773,0.00191,0.05798,0.066972,0.0046,0.001905,-0.00059,0.05623,0.00198,40.23,348500.0,0.118,40.0,39.4,CAL,5.024931052400176,4.996202885806787
corr_elevator0rudder0.txt,66,-0.004,0.0,0.2127,0.067345,0.00275,0.05088,0.06736,0.2127,0.002745,-0.00082,-0.00282,0.00137,40.2,348100.0,0.118,40.0,39.4,CAL,5.021183900235822,4.996202885806787
corr_elevator0rudder0.txt,67,4.0,0.0,0.6075,0.078398,0.00655,0.05228,0.035831,0.6115,0.006547,-0.00128,-0.10114,-0.00025,40.16,347600.0,0.118,40.0,39.4,CAL,5.016187697350015,4.996202885806787
corr_elevator0rudder0.txt,68,8.0,0.0,0.9459,0.10578,-0.00232,-0.00341,-0.026894,0.9514,-0.002321,-0.00304,-0.24123,-0.0005,40.14,347400.0,0.118,40.0,39.4,CAL,5.0136895959071115,4.996202885806787
corr_elevator0rudder0.txt,69,12.0,0.0,1.1252,0.161352,-0.00058,-0.1298,-0.076119,1.1342,-0.000583,-0.00286,-0.41199,-0.00154,40.23,348300.0,0.118,40.0,39.4,CAL,5.024931052400176,4.996202885806787
corr_elevator0rudder0.txt,70,-1.996,0.0,0.0,0.048949,0.00226,0.05817,0.04892,-0.0017,0.002256,-0.0012,0.05799,0.00174,40.27,348300.0,0.118,40.0,78.7,CAL,2.518159261223224,2.5012756505817966
corr_elevator0rudder0.txt,71,-0.004,0.0,0.2089,0.0497,0.00297,0.04755,0.049715,0.2089,0.002974,-0.0016,-0.00518,0.00118,40.23,347800.0,0.118,40.0,78.7,CAL,2.5156579855726418,2.5012756505817966
corr_elevator0rudder0.txt,72,4.0,0.0,0.6115,0.060918,0.00744,0.04215,0.018113,0.6143,0.007435,-0.00198,-0.11185,-0.00053,40.21,347700.0,0.118,40.0,78.7,CAL,2.514407347747351,2.5012756505817966
corr_elevator0rudder0.txt,73,8.0,0.0,0.9577,0.086216,0.00076,-0.01929,-0.047915,0.9604,0.000756,-0.00334,-0.2592,-0.0013,40.18,347400.0,0.118,40.0,78.7,CAL,2.5125313910094147,2.5012756505817966
corr_elevator0rudder0.txt,74,12.0,0.0,1.1492,0.135927,0.00148,-0.16438,-0.105967,1.1523,0.001476,-0.00354,-0.45075,-0.00202,40.16,347400.0,0.118,40.0,78.7,CAL,2.5112807531841237,2.5012756505817966
corr_elevator0rudder0.txt,75,11.996,0.0,1.1593,0.169725,0.00549,-0.11314,-0.074941,1.1693,0.005486,-0.00128,-0.4043,-0.0014,20.11,174300.0,0.059,20.0,27.6,CAL,3.585744037430104,3.5661303206664385
corr_elevator0rudder0.txt,76,8.004,0.0,0.939,0.111676,0.00089,0.00956,-0.020153,0.9454,0.000886,-0.00325,-0.22687,-0.00034,20.11,174300.0,0.059,20.0,27.6,CAL,3.585744037430104,3.5661303206664385
corr_elevator0rudder0.txt,77,4.0,0.0,0.6031,0.085773,0.00114,0.06402,0.043494,0.6076,0.001141,-0.0018,-0.08854,0.00016,20.13,174500.0,0.059,20.0,27.6,CAL,3.58931016775077,3.5661303206664385
corr_elevator0rudder0.txt,78,0.0,0.0,0.2056,0.072011,0.00464,0.05422,0.07201,0.2056,0.004638,-0.00089,0.00228,0.00102,20.14,174700.0,0.059,20.0,27.6,CAL,3.5910932329111036,3.5661303206664385
corr_elevator0rudder0.txt,79,-2.0,0.0,0.0036,0.070046,0.00495,0.06202,0.070129,0.0011,0.004946,-0.00089,0.0611,0.00172,20.16,174800.0,0.059,20.0,27.6,CAL,3.59465936323177,3.5661303206664385
corr_elevator0rudder0.txt,80,-2.0,0.0,-0.0001,0.016545,0.01048,0.04108,0.016533,-0.0006,0.010481,-0.00227,0.04082,-0.00025,20.15,174800.0,0.059,20.0,27.6,BRK,3.5928762980714364,3.5661303206664385
corr_elevator0rudder0.txt,81,-0.005,0.0,0.2083,0.017162,0.00932,0.02893,0.017178,0.2083,0.009319,-0.00299,-0.02344,-0.0005,20.14,174700.0,0.059,20.0,27.6,BRK,3.5910932329111036,3.5661303206664385
corr_elevator0rudder0.txt,82,4.0,0.0,0.6168,0.029608,0.00236,0.02449,-0.013491,0.6174,0.002362,-0.00475,-0.1301,-0.00031,20.06,174000.0,0.059,20.0,27.6,BRK,3.5768287116284374,3.5661303206664385
corr_elevator0rudder0.txt,83,8.0,0.0,0.9603,0.056244,0.00119,-0.03966,-0.077952,0.9588,0.001194,-0.00571,-0.27895,-0.00059,20.1,174400.0,0.059,20.0,27.6,BRK,3.5839609722697707,3.5661303206664385
